id,topics
1739,"""coffee market"" OR ""coffee exports"" OR ""coffee production"""
1801,mineral deposits
1776,gold drill results
1818,oil well analysis OR research OR report OR estimate
1553,"""market vectors junior gold miners etf"" OR GDXJ"
1718,"""bharat petroleum"""
1609,"""rio tinto plc"" OR RIO-LON"
1517,"""hindustan petroleum"""
1836,ptt
1754,ecopetrol
1688,agriculture
1828,petrofac
1404,"""cobalt international energy inc"" OR CIE"
1865,thorium
1315,"""b2gold corp"" OR BTO-TSE"
1318,"""baker hughes incorporated"" OR BHI"
1825,permian basin
1496,"""gold fields"""
1811,non-payment
1477,"""franco-nevada corporation"" OR FNV-TSE"
1651,"""tata steel europe"""
1340,"""boart longyear limited"" OR BLY-ASX"
1868,transneft
1516,"""highlands pacific"""
1778,haynesville shale OR oil
1498,"""goldcorp inc"" OR GG"
1611,"""royal bank of scotland"" OR RBS"
1368,"""cape lambert resources limited"" OR CFE-ASX"
1585,"""peabody energy corporation"" OR BTU"
1591,"""posco"" OR 005490-KRX"
1725,BP plc
1851,sinopec
1593,"""pre-salt"""
1826,petrobras Oil
1830,petroleum geo OR science OR survey
1292,"""apache corporation"" OR APA"
1287,"""antofagasta plc"" OR ANTO-LON"
1465,"""exxon mobil corporation"" OR XOM"
1737,cnooc
1772,gazprom
1817,oil production OR development OR price
1573,"""nippon yusen kabushiki kaisha"" OR 9101-TKS"
1835,potash
1781,horn river shale OR oil
1847,seadrill
1423,"""crane co"" OR CR"
1857,steel market OR production OR output OR capacity
1880,zinc
1373,"""carrizo oil &amp, gas inc"" OR CRZO"
1853,solar energy OR power OR generation OR technology OR plant OR thermal OR panel
1471,"""first quantum"""
1707,aramco
1867,tidal energy OR renewable OR market
1726,buenaventura
1545,"""kumba iron ore"""
1577,"""oasis petroleum"""
1436,"""devon energy corporation"" OR DVN"
1859,sugar production OR price OR exports OR imports OR market
1782,hot rolled coil
1540,"""kmg chemicals"""
1528,"""ipath s&amp,p gsci crude oil total return index etn"" OR OIL"
1587,"""pioneer natural resources company"" OR PXD"
1755,electricity shortage
1511,"""harmony gold"""
1552,"""market vectors gold miners etf gold miners fund"" OR GDX"
1780,hindalco
1732,"""centerra gold"""
1837,rare earth mining OR production OR price OR market
1659,"""tullow oil"""
1744,copper
1854,southern peru
1603,"""range resources"""
1702,"""anglo American platinum"""
1785,iron ore production OR extraction OR mining
1510,"""halliburton company"" OR HAL"
1430,"""Datong Coal Mine Group"""
1794,lukoil
1746,cotton price OR production -greaves -fearne
1738,coal
1858,stockmarket
1840,rice growing OR market OR export OR price
1414,"""concho resources inc"" OR CXO"
1417,"""continental resources inc"" OR CLR"
1291,"""Apache Corporation"""
1743,"""contango oil"" OR ""contango gas"""
1433,"""denbury resources inc"" OR DNR"
1349,"""bp plc"" OR BP-LON"
1584,"""pakistan state oil"""
1733,chalcopyrite
1875,vestas Wind
1312,"""aws"" OR ""cloud"" OR ""data centre"" OR ""Azure"" OR ""IOT"""
1520,"""incitec pivot"""
1304,"""atac resources ltd"" OR ATC-TSX"
1741,"""combined heat power"""
1561,"""mincor resources"""
1538,"""kenmare resources"""
1519,"""impala platinum"""
1456,"""eog resources inc"" OR EOG"
1388,"""chesapeake energy corporation"" OR CHK"
1468,"""first majestic silver corp"" OR AG"
1472,"""first solar inc"" OR FSLR"
1752,drought
1525,"""integra resources"""
1354,"""buru Energy"""
1742,"""construction  permit"""
1449,"""encana corporation"" OR ECA-TSE"
1834,posco
1699,"""anaerobic digestion"""
1285,"""anglogold ashanti"""
1708,b2gold
1715,"""barrick Gold"""
1846,scrap imports OR exports
1820,organic
1704,"""antofagasta Plc"""
1855,soybean imports OR exports OR market OR price
1259,"""abraxas petroleum corporation"" OR AXAS"
1804,molybdenum
1729,caltex
1724,"""bougainville copper"""
1581,"""origin energy"""
1378,"""centamin plc"" OR CEY-LON"
1380,"""centerra gold inc"" OR CG-TSE"
1578,"""oil and natural gas Corporation"""
1740,"""coking coal"""
1371,"""carbo ceramics inc"" OR CRR"
1255,"""randgold resources"""
1767,france gas OR shale
1544,"""Kuala Lumpur Kepong"""
1617,"""seabridge gold"""
1694,alumina
1843,sandridge
1356,"""cabot oil &amp, gas corporation"" OR COG"
1751,downhole
1324,"""barrick gold corporation"" OR ABX-TSE"
1382,"""centrica plc"" OR CNA-LON"
1268,"""ak steel holding corporation"" OR AKS"
1760,exxaro
1575,"""novagold resources inc"" OR NG-TSE"
1582,"""oz minerals"""
1809,niobrara oil OR shale OR drilling
1283,"""anglo american plc"" OR AAL-LON"
1401,"""cliffs natural resources inc"" OR CLF"
1816,offshore wind
1771,gas processing
1839,rebar
1872,uranium OR zinc OR copper OR thorium
1272,"""alexco resource corp"" OR AXR-TSE"
1845,schlumberger
1495,"""gold fields limited sponsored adr"" OR GFI"
1491,"""glencore plc"" OR GLEN-LON"
1634,"""sold interests"" OR ""sells interests"" OR ""divests"""
1806,montney shale OR oil
1613,"""s-oil"""
1709,bakken
1413,"""comstock resources inc"" OR CRK"
1710,bakken Crude
1877,"""WH group"""
1466,"""falcon oil &amp, gas"""
1426,"""cst brands inc"" OR CST"
1434,"""denison mines corp"" OR DML-TSE"
1821,osisko
1798,mercer gold
1716,"""battery technology"" OR ""battery production"""
1664,"""vedanta resources"""
1297,"""arch coal inc"" OR ACIIQ"
1557,"""midstream holdings"""
1529,"""ivanhoe mines"""
1533,"""jindal steel"""
1761,exxon mobil
1454,"""enerplus corporation"" OR ERF-TSE"
1644,"""suncor energy inc"" OR SU-TSE"
1406,"""coeur mining inc"" OR CDE"
1686,"""Adaro Energy"""
1656,"""total s.a."""
1645,"""suncor energy"""
1284,"""anglogold ashanti limited sponsored adr"" OR AU"
1389,"""chevron corporation"" OR CVX"
1800,mine development
1852,smelter
1690,"""algal fuel"""
1260,"""acacia mining plc"" OR ACA-LON"
1728,"""cairn energy"""
1497,"""gold royalty"""
1636,"""southern copper"""
1721,biogas
1377,"""cenovus energy inc"" OR CVE"
1381,"""central petroleum limited"" OR CTP-ASX"
1602,"""range resources corporation"" OR RRC"
1792,livestock
1564,"""mittal steel"""
1844,sasol
1827,petrochina
1758,eramet
1681,"""zijin mining"""
1720,biofuel OR biofuels
1442,"""dynegy inc"" OR DYN"
1795,maanshan iron and steel
1627,"""silvercorp metals"""
1655,"""Tokyo Electric Power"""
1832,platinum mine OR production OR price
1415,"""consol energy inc"" OR CNX"
1793,Lloyds TSB
1425,"""crew energy inc"" OR CR-TSE"
1543,"""korea zinc"""
1606,"""reliance industries"""
1757,eog
2292,site:argentumsilvercorp.com
2291,site:deepwelloil.com
2279,site:mclarenresources.com
2271,site:renogoldcorporation.com
2199,site:strataoil.com
2250,site:paramountres.com
2288,site:agnicoeagle.com
2195,site:aisresources.com
2205,site:altiusminerals.com
2272,site:amemining.com
2267,site:americanlithiumcorp.com
2226,site:argentinalithium.com
2219,site:ayagoldsilver.com
2203,site:barksdaleresources.com
2224,site:bengalenergy.ca
2241,site:blackmammothmetals.com
2293,site:bluemoonmining.com
2280,site:brichem.com
2230,site:bulliongold.ca
2247,site:calfrac.com
2223,site:capellaminerals.com
2212,site:cointelegraph.com
2245,site:condorresources.com
2187,site:cornishmetals.com
2214,site:cryptonews.com
2209,site:decaderesources.ca
2243,site:districtcoppercorp.com
2191,site:emergentmetals.com
2296,site:eminentgoldcorp.com
2221,site:esreyresources.com
2189,site:first-quantum.com
2217,site:generalgold.ca
2253,site:grandeportage.com
2240,site:greatatlanticresources.com
2263,site:groundedlithium.com
2260,site:imineralsinc.com
2251,site:jaxonmining.com
2231,site:jaydenresources.com
2225,site:klondikesilver.com
2294,site:kutcho.ca
2290,site:lithium3.com
2273,site:madorometals.com
2202,site:maritimeresourcescorp.com
2278,site:metalexventures.com
2188,site:nevadacopper.com
2192,site:newfoundlanddiscovery.ca
2194,site:nexeraenergy.com
2239,site:ngenergyintl.com
2232,site:northpeakresources.com
2176,site:oilprice.com
2222,site:pjxresources.com
2210,site:reconafrica.com
2228,site:renforthresources.com
2216,site:sandfireamerica.com
2284,site:shamaranpetroleum.com
2269,site:starcore.com
2265,site:sterlingmetals.ca
2262,site:trevali.com
2172,site:vietnamtimes.org.vn
2277,site:volgold.com
2248,site:voltcarbontech.com
2287,site:voyageurexplorers.com
2237,site:asanko.com
2264,site:atomicminerals.ca
2236,site:baytexenergy.com
2258,site:bonterraenergy.com
2259,site:bunkerhillmining.com
2198,site:capitalight.co
2197,site:carlingold.com
2252,site:cobraventure.com
2213,site:coindesk.com
2229,site:cwcenergyservices.com
2276,site:desertgold.ca
2274,site:dynacor.com
2257,site:eaglegraphite.com
2289,site:eagleplains.com
2282,site:fancamp.ca
2201,site:globexmining.com
2196,site:greatquest.com
2246,site:intrepidmetals.com
2227,site:inzincmining.com
2261,site:kinross.com
2255,site:largoinc.com
2238,site:mccoyglobal.com
2186,site:metallaroyalty.com
2177,site:mwebantu.com
2220,site:obsidianenergy.com
2254,site:orvana.com
2270,site:pacificbooker.com
2206,site:panamericansilver.com
2281,site:pieridaeenergy.com
2218,site:platogold.com
2234,site:primemeridianresources.com
2207,site:quartzmountainresources.com
2193,site:radissonmining.com
2268,site:regeniii.com
2244,site:sanatanaresources.com
2208,site:sonoragoldcorp.com
2211,site:standardlithium.com
2215,site:tenazenergy.com
2204,site:universalcopper.com
2190,site:westvaultmining.com
2233,site:vanadianenergy.com
2173,gigafactory
2174,nanotechnology
2175,li-ion
2185,111 inc
