id,topics
1,'Access to healthcare'
2,'Accessibility'
3,'Accessibility solutions'
4,'Accessible technology'
5,'Active ownership'
6,'Acute natural hazard'
7,'Acute physical risks'
8,'Adaptation'
9,'Affordable housing'
10,'Afforestation'
11,'Agroecology'
12,'Agroforestry'
13,'Air pollution'
14,'Air quality'
15,'Algal blooms'
16,'Animal welfare'
17,'Anthropogenic (global) warming'
18,'Anti-discrimination policies'
19,'Aquatic ecosystems'
20,'Aquatic habitat'
21,'Aquatic pollution'
22,'Arctic amplification'
23,'Asia Investor Group on Climate Change (AIGCC)'
24,'Attribution science'
25,'Benthic communities'
26,'Best-in-class investment'
27,'Biennial Exploratory Scenario (BES'
28,'Bio-diverse'
29,'Bio-diverse initiatives'
30,'Biodiversity'
31,'Biodiversity decline'
32,'Biodiversity loss'
33,'Biodiversity preservation'
34,'Bioenergy'
35,'Bioenergy with carbon capture and sequestration (BECCS)'
36,'Biofuels'
37,'Biomimicry'
38,'Blue economy'
39,'Brownfield asset'
40,'Building Research Establishment’s Environmental Assessment Method (BREEAM)'
41,'Cap-and-trade emissions trading system (ETS)'
42,'Capital Asset Pricing Model (CAPM)'
43,'Carbon accountability'
44,'Carbon accounting'
45,'Carbon Border Adjustment Mechanism (CBAM)'
46,'Carbon budget'
47,'Carbon capture'
48,"'Carbon capture (utilisation) and storage (CCS, CCUS)'"
49,'Carbon cycle'
50,'Carbon dioxide (CO2)'
51,'Carbon dioxide equivalent (CO2e)'
52,'Carbon emissions'
53,'Carbon footprint'
54,'Carbon inequality'
55,'Carbon intensity'
56,'Carbon market'
57,'Carbon momentum'
58,'Carbon neutral'
59,'Carbon neutrality'
60,'Carbon offset'
61,'Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA)'
62,'Carbon pricing'
63,'Carbon reduction'
64,'Carbon reservoir'
65,'Carbon Risk Real Estate Monitor (CRREM)'
66,'Carbon score'
67,'Carbon sequestration'
68,'Carbon shadow pricing'
69,'Carbon sink'
70,'Carbon tax'
71,'Carbon trading'
72,'CDP'
73,'Ceres'
74,'Child labor prevention'
75,'China Green Bond Catalogue'
76,'China Green Industry Guiding Catalogue'
77,'Chronic natural hazard'
78,'Chronic physical risks'
79,'Circular adoption'
80,'Circular benchmarks'
81,'Circular business models'
82,'Circular business practices'
83,'Circular business strategies'
84,'Circular collaboration'
85,'Circular consumption'
86,'Circular design'
87,'Circular development'
88,'Circular economy'
89,'Circular economy adoption'
90,'Circular economy analysis'
91,'Circular economy assessment'
92,'Circular economy audit'
93,'Circular economy benchmarking'
94,'Circular economy best practices'
95,'Circular economy case studies'
96,'Circular economy certification'
97,'Circular economy compliance'
98,'Circular economy evaluation'
99,'Circular economy goals'
100,'Circular economy impact assessment'
101,'Circular economy indicators'
102,'Circular economy KPIs (Key Performance Indicators)'
103,'Circular economy lessons learned'
104,'Circular economy measurement'
105,'Circular economy metrics'
106,'Circular economy principles'
107,'Circular economy progress'
