id,topics
65,'Carbon Risk Real Estate Monitor (CRREM)'
66,'Carbon score'
67,'Carbon sequestration'
70,'Carbon tax'
71,'Carbon trading'
72,'CDP'
73,'Ceres'
74,'Child labor prevention'
75,'China Green Bond Catalogue'
76,'China Green Industry Guiding Catalogue'
77,'Chronic natural hazard'
78,'Chronic physical risks'
79,'Circular adoption'
80,'Circular benchmarks'
81,'Circular business models'
82,'Circular business practices'
83,'Circular business strategies'
84,'Circular collaboration'
85,'Circular consumption'
86,'Circular design'
87,'Circular development'
88,'Circular economy'
89,'Circular economy adoption'
90,'Circular economy analysis'
91,'Circular economy assessment'
92,'Circular economy audit'
93,'Circular economy benchmarking'
94,'Circular economy best practices'
95,'Circular economy case studies'
96,'Circular economy certification'
97,'Circular economy compliance'
98,'Circular economy evaluation'
99,'Circular economy goals'
100,'Circular economy impact assessment'
101,'Circular economy indicators'
102,'Circular economy KPIs (Key Performance Indicators)'
103,'Circular economy lessons learned'
104,'Circular economy measurement'
105,'Circular economy metrics'
107,'Circular economy progress'
108,'Circular economy reporting'
111,'Circular economy roadmaps'
112,'Circular economy scorecard'
113,'Circular economy standards'
114,'Circular economy success stories'
115,'Circular economy targets'
116,'Circular economy transparency'
117,'Circular entrepreneurship'
119,'Circular initiatives'
120,'Circular innovation'
121,'Circular integration'
122,'Circular logistics'
123,'Circular management'
125,'Circular materials'
126,'Circular measurement'
127,'Circular metrics'
128,'Circular mindset'
129,'Circular monitoring'
130,'Circular operations'
131,'Circular packaging'
132,'Circular performance'
134,'Circular practices'
135,'Circular procurement'
136,'Circular production'
138,'Circular reporting'
139,'Circular service models'
140,'Circular solutions'
141,'Circular sourcing'
142,'Circular strategies'
143,'Circular supply chain'
144,'Circular technologies'
145,'Circular thinking'
147,'Circular transition'
148,'Circular value chain'
149,'Circularity assessment'
151,'Clean energy'
152,'Clean energy adoption'
153,'Clean production'
154,'Clean technology'
156,'Clear-cutting'
157,'Climate action'
158,'Climate Action 100+ (CA100+)'
159,'Climate Action Network (CAN)'
160,'Climate adaptation'
161,'Climate Biennial Exploratory Scenario (CBES)'
162,'Climate Bonds Initiative (CBI)'
163,'Climate Bonds Standard (CBS)'
165,'Climate Bonds Taxonomy and Sector Criteria'
166,'Climate change'
167,'Climate change adaptation and resilience'
169,'Climate Change Performance Index (CCPI)'
170,'Climate change resilience'
171,'Climate Disclosure Standards Board (CDSB)'
172,'Climate feedbacks'
173,'Climate Financial Risk Forum (CFRF)'
174,'Climate goals'
175,'Climate model'
176,'Climate policy'
177,'Climate resilience'
178,'Climate Resilience Principles'
179,'Climate sensitivity'
181,'Climate value at risk (CvaR or Climate VaR)'
182,'Closed-loop'
183,'Closed-loop systems'
187,'Coastal erosion'
189,'Committee on Climate Change (CCC)'
190,'Community development'
191,'Community engagement'
192,'Community forestry'
193,'Conference of the Parties (COP)'
194,'Conservation'
195,'Conservation awareness'
197,'Conservation efforts'
198,'Conservation programs'
199,'Conservation projects'
200,'Control approach'
201,'Coral reef protection'
203,'Corporate Reporting Dialogue (CRD)'
205,'Corporate Sustainability Reporting Directive (CSRD)'
206,'Cradle-to-cradle'
207,'Cultural preservation'
208,'Dasgupta Review'
211,'Deforestation monitoring'
213,'Digital education'
214,'Digital inclusion'
215,'Disaster preparedness'
217,'Disaster relief'
218,'Disaster resilience'
219,'Discounted cash flow (DCF) valuation'
221,'Diversity and inclusion'
223,'Downstream Scope 3 emissions'
224,'Dual (or double) materiality'
225,'Dynamic materiality'
227,'Eco-awareness'
228,'Eco-conscious'
229,'Eco-consciousness'
230,'Eco-design'
231,'Eco-efficiency'
232,'Eco-friendly'
233,'Eco-friendly practices'
234,'Eco-friendly products'
235,'Eco-innovation'
236,'Ecolabel'
237,'Ecolabeling'
238,'Ecological balance'
239,'Ecological footprint'
240,'Ecological impacts'
241,'Ecological integrity'
243,'Economic emissions intensity'
244,'Ecosystem'
245,'Ecosystem degradation'
246,'Ecosystem health'
247,'Ecosystem resilience'
248,'Ecosystem restoration'
250,'Eco-systematic'
252,'Ecotoxicity'
253,'Education access'
254,'Education initiatives'
255,'Elderly care'
256,'Embodied carbon'
257,'Emission controls'
258,'Emission reduction'
259,'Emission standards'
260,'Emissions reduction'
261,'Emissions Trading System (ETS)'
262,'Employee volunteer programs'
263,'Employee well-being'
265,'Energy conservation'
267,'Energy efficiency'
268,'Energy-efficient'
269,'Engagement'
270,'Engineered solution'
271,'Environment'
272,'Environmental awareness'
274,'Environmental conservation'
276,'Environmental footprint'
277,'Environmental impact'
279,'Environmental management'
280,'Environmental performance'
281,'Environmental policies'
282,'Environmental regulations'
285,'Environmental stewardship'
286,'Equal pay'
287,'Equator Principles'
288,'Equilibrium Climate Sensitivity (ECS)'
289,'Equity share approach'
291,'Estuarine ecosystems'
292,'Ethical investing'
293,'Ethical marketing'
294,'Ethical practices'
295,'Ethical sourcing'
297,'EU Taxonomy for sustainable activities (EU Taxonomy)'
298,'EU Taxonomy Regulation'
299,'European Banking Authority (EBA)'
300,'European Financial Reporting Advisory Group (EFRAG)'
301,'European Fund and Asset Management Association (EFAMA'
302,'European Green Bond Standard (EU GBS)'
303,'European Green Deal'
304,'European Insurance and Occupational Pensions Authority (EIOPA)'
306,'European Securities and Markets Authority (ESMA)'
307,'European Supervisory Authorities (ESAs)'
308,'European Systemic Risk Board (ESRB)'
309,'European Union Action Plan for Financing Sustainable Growth'
310,'European Union Benchmark Regulation'
311,'European Union Emissions Trading Scheme (EU ETS)'
313,'E-waste management'
315,'Excellence in Design for Greater Efficiencies (EDGE)'
316,'Exclusions (investing)'
318,'Fair labor practices'
321,'Fair working conditions'
323,'Fiduciary'
325,'Financial materiality'
326,'Financial Reporting Council (FRC)'
327,'Financial Stability Board (FSB)'
329,'Food security'
330,'Forest biodiversity'
331,'Forest carbon stocks'
332,'Forest certification'
334,'Forest conservation efforts'
335,'Forest conservation strategies'
336,'Forest cover change'
340,'Forest fragmentation'
342,'Forest impact assessment'
343,'Forest landscape management'
346,'Forest management'
347,'Forest monitoring'
349,'Forest preservation'
350,'Forest protection'
351,'Forest protection measures'
353,'Forest resource management'
354,'Forest restoration'
355,'Forest restoration initiatives'
356,'Forest restoration programs'
358,'Fossil fuels'
360,'Freshwater ecosystems'
361,'Freshwater preservation'
363,'Gender pay equity'
365,'Global Adaptation & Resilience Investment Working Group (GARI)'
366,'Global Center on Adaptation (GCA)'
367,'Global Commission on Adaptation (GCA)'
369,'Global Investor Coalition on Climate Change (GIC)'
370,'Global Real Estate Sustainability Benchmark (GRESB)'
371,'Global Reporting Initiative (GRI)'
373,'Global Warming Potential (GWP)'
374,'Green and blue infrastructure'
375,'Green bond'
378,'Green building'
380,'Green certifications'
384,'Green Industry Guiding Catalogue (China Industry Catalogue)'
385,'Green initiatives'
387,'Green Loan Principles (GLP)'
389,'Green policies'
391,'Green products'
392,'Green standards'
393,'Green supply chain'
394,'Green technologies'
396,'Greenfield investment'
397,'Greenhouse effect'
398,'Greenhouse gas (GHG)'
399,'Greenhouse gas emissions'
400,'Greenhouse Gas Protocol (GHG Protocol)'
401,'Greenhouse gases'
404,'Habitat conservation'
406,'Habitat fragmentation'
407,'Habitat loss'
408,'Habitat restoration'
409,'Harmful algal blooms'
411,'Hazardous materials'
414,'Hot house world'
415,'Human rights'
416,'Humanitarian aid'
419,'Hydrofluorocarbons (HFCs)'
420,'ICMA Green Bond Principles (GBP)'
421,'ICMA Harmonised Framework for Impact Reporting'
422,'ICMA Social Bond Principles (SBP)'
423,'ICMA SustainabilityLinked Bond Principles (SLBP)'
424,'Illegal logging'
425,'Impact investing'
426,'Impact Management Project (IMP)'
428,'Inclusive hiring'
430,'Indigenous land rights'
431,'Indigenous land stewardship'
432,'Indigenous rights'
433,'Industrial runoff'
434,'Inevitable Policy Response (IPR)'
437,'Integrated Assessment Models (IAMs)'
442,'International Accounting Standards Board (IASB)'
444,'International Corporate Governance Network (ICGN)'
445,'International Energy Agency (IEA)'
447,'International Financial Reporting Standards (IFRS) Foundation'
449,'International Monetary Fund (IMF)'
450,'International Organization of Securities Commissions (IOSCO)'
451,'International Platform on Sustainable Finance (IPSF)'
452,'International Renewable Energy Agency (IRENA)'
468,'Land rehabilitation'
470,'Land restoration techniques'
471,'Land stewardship'
472,'Land tenure'
474,'Land tenure conflicts'
475,'Land tenure disputes'
476,'Land tenure documentation'
477,'Land tenure governance'
478,'Land tenure policies'
479,'Land tenure reform'
480,'Land tenure regularization'
481,'Land tenure rights'
482,'Land tenure security'
483,'Land tenure sustainability'
629,'Shared SocioEconomic Pathways (SSPs)'
700,'Task Force on Climaterelated Financial Disclosures (TCFD)'
701,'Task Force on Naturerelated Financial Disclosures (TNFD)'
