id,topics
1,SUPER MICRO COMP
2,VERTIV HOLDING-A
3,NVIDIA CORP
4,POWELL INDS INC
5,ASICS CORP
6,MODINE MFG CO
7,TRUE CORP PCL
8,SPOTIFY TECHNOLO
9,VISTA ENERGY SAB
10,MITSUBISHI HEAVY
11,NOVOCURE LTD
12,WK KELLOGG CO
13,LEONARDO SPA
14,GENERAL ELECTRIC
15,AEROVIRONMENT IN
16,MITSUI & CO
17,OCADO GROUP PLC
18,EBARA CORP
19,MITSUBISHI CORP
20,INTERACTIVE BROK
21,KB FINANCIAL GRO
22,DOUBLEVERIFY HOL
23,STERLING INFRAST
24,TAIWAN SEMIC-ADR
25,COMMERZBANK
26,TOKYO ELECTRON
27,WARTSILA OYJ ABP
28,SMFG
29,SUMITOMO FOREST
30,METRO BANK & TR
31,COUPANG INC
32,LAWSON INC
33,MITSUB ELEC CORP
34,BARCLAYS PLC
35,MODERNA INC
36,DIAN DIAGNOSTI-A
37,PRYSMIAN SPA
38,CNOOC LTD-A
39,INTL CONTAIN TER
40,SUNNY OPTICAL
41,OLAPLEX HOLDINGS
42,ANGLO AMER PLC
43,TRANE TECHNOLOGI
44,LULULEMON ATH
45,GRIFOLS SA
46,INTEL CORP
47,SUMITOMO CORP
48,CROWDSTRIKE HO-A
49,AMPHENOL CORP-A
50,TENCENT
51,GOODMAN GROUP
52,APPLIED MATERIAL
53,TOEI ANIMATION
54,GRUPO TELEV-ADR
55,MIZUHO FINANCIAL
56,TRADE DESK INC-A
57,ELI LILLY & CO
58,VF CORP
59,WABTEC CORP
60,TOYOTA MOTOR
61,META PLATFORMS-A
62,TRACTOR SUPPLY
63,MEDIOBANCA
64,BANK OF CHINA-H
65,WALGREENS BOOTS
66,RECRUIT HOLDINGS
67,M3 INC
68,FIDELITY NATIONA
69,BOSTON SCIENTIFC
70,TOYOTA INDUSTRIE
71,AMERICAN EXPRESS
72,RAKUTEN GROUP IN
73,CHARTER COMMUN-A
74,TESLA INC
75,NOVO NORDISK-B
76,SUMITOMO MET MIN
77,RANGE RESOURCES
78,WARNER BROS DISC
79,MITSUBISHI UFJ F
80,INPEX CORP
81,GN STORE NORD
82,BANKCOMM-H
83,NETFLIX INC
84,SAP SE
85,SHANGHAI STEP-A
86,FREEPORT-MCMORAN
87,PLUG POWER INC
88,TEMENOS AG-REG
89,BEIJING CAP AI-H
90,SCHNEIDER ELECTR
91,PING AN
92,PUBLICIS GROUPE
93,CKD CORP
94,TERADYNE INC
95,KOMATSU LTD
96,RESMED INC
97,XYLEM INC
98,CVS HEALTH CORP
99,ALPHABET INC-C
100,XPO INC
101,CAMECO CORP
102,ABC-H
103,SBI HOLDINGS INC
104,ASML HOLDING NV
105,KNORR-BREMSE AG
106,MTN GROUP LTD
107,KURITA WATER IND
108,METTLER-TOLEDO
109,NGK INSULATORS
110,EXPEDIA GROUP IN
111,WELLS FARGO & CO
112,CHINA LIFE-H
113,NEXTERA ENERGY
114,CIE FINANCI-REG
115,SHOPIFY INC - A
116,CITIGROUP INC
117,ZILLOW GRO-C
118,ADVANCED DRAINAG
119,KONINKLIJKE PHIL
120,BURBERRY GROUP
121,YETI HOLDINGS IN
122,PALANTIR TECHN-A
123,AMOREPACIFIC COR
124,ICBC-H
125,ROHM CO LTD
126,JOHNSON CONTROLS
127,ADIDAS AG
128,SUNTORY FOOD BEV
129,WALMART INC
130,PT XL AXIATA TBK
131,GSK PLC
132,CITIZEN WATCH CO
133,FUJIFILM HOLDING
134,HARGREAVES LANSD
135,HUMANA INC
136,BOC HONG KONG
137,INTL FLVR & FRAG
138,FABRINET
139,MCKESSON CORP
140,SUZUKI MOTOR
141,GOLDMAN SACHS GP
142,AMAZON.COM INC
143,SUN PHARMA INDU
144,ILLUMINA INC
145,CANON INC
146,FUJITEC CO LTD
147,COCA-COLA HBC AG
148,NIBE INDUSTRIE-B
149,MAPLETREE LOG TR
150,BBVA
151,ETSY INC
152,JD.COM INC-ADR
153,COSTCO WHOLESALE
154,QUIMICA Y-SP ADR
155,MERCK & CO
156,DENTSPLY SIRONA
157,CCL INDS B
158,NIKON CORP
159,ULTA BEAUTY INC
160,HERMES INTL
161,KAO CORP
162,THOMSON REUTERS
163,AKAMAI TECHNOLOG
164,GIVAUDAN-REG
165,YAMAHA MOTOR CO
166,GRUPO MEXICO-B
167,PIONEER NATURAL
168,ADVANCE AUTO PAR
169,JPMORGAN CHASE
170,PENUMBRA INC
171,DESCARTES SYS
172,FIRST PACIFIC
173,BANCOLOMBIA-ADR
174,LAM RESEARCH
175,CORSAIR GAMING I
176,ADOBE INC
177,PARKER HANNIFIN
178,WILLIAMS COS INC
179,SARTORIUS AG-PFD
180,PARAMOUNT GLOB-B
181,TWILIO INC - A
182,SHIMANO INC
183,JAPAN HOTEL REIT
184,ECOLAB INC
185,TELEFONICA
186,NAURA TECH GR -A
187,CHINA TOWER CO-H
188,INTUITIVE SURGIC
189,MEDIATEK
190,COLGATE-PALMOLIV
191,IPG PHOTONICS
192,LLOYDS BANKING
193,ORACLE CORP
194,INSIGHT ENTERPRI
195,DBS GROUP HLDGS
196,STANDARD CHARTER
197,KEYENCE CORP
198,EDWARDS LIFE
199,UNIBAIL-RODAMCO-
200,TYLER TECHNOLOG
201,SNOWFLAKE INC-A
202,EBAY INC
203,OMRON CORP
204,KION GROUP AG
205,REXFORD INDUSTRI
206,EMERSON ELEC CO
207,ITT INC
208,T&D HOLDING INC
209,BANK OF AMERICA
210,HENKEL AG -PREF
211,BNP PARIBAS
212,TOMRA SYSTEMS AS
213,VERISIGN INC
214,SKYWORKS SOLUTIO
215,RECKITT BENCKISE
216,BROWN-FORMAN -B
217,MINEBEA MITSUMI
218,SOC GENERALE SA
219,THK CO LTD
220,ZEBRA TECH CORP
221,TRIPADVISOR INC
222,WEIR GROUP PLC
223,PROLOGIS INC
224,SHISEIDO CO LTD
225,ELEVANCE HEALTH
226,SYMBOTIC INC
227,AVOLTA AG
228,APPLIED INDU TEC
229,APPLIED INDU TEC
230,COGNEX CORP
231,DANAHER CORP
232,ESTUN AUTOMA-A
233,NIKE INC -CL B
234,GENERAC HOLDINGS
235,ESSILORLUXOTTICA
236,ARCHER-DANIELS
237,CARRIER GLOB
238,TAPESTRY INC
239,EXPERIAN PLC
240,CINTAS CORP
241,3M CO
242,WW GRAINGER INC
243,BAYER AG-REG
244,NORDSTROM INC
245,PICC P&C-H
246,FISERV INC
247,INSULET CORP
248,DASSAULT SYSTEME
249,CARNIVAL CORP
250,WOLTERS KLUWER
251,DOMINION ENERGY
252,BRISTOL-MYER SQB
253,JAPAN AIR TERMIN
254,PROCTER & GAMBLE
255,SCHWAB (CHARLES)
256,WALT DISNEY CO/T
257,OVINTIV INC
258,ASTRAZENECA PLC
259,NINTENDO CO LTD
260,MICROPORT SCIENT
261,SCHINDLER HLD-PC
262,CHINA MOBILE
